zmjgm,sname,name,per_nav,zjzfe,symbol,three_month,clrq,six_month,dwjz,form_year,form_start,one_year,total_nav,jzrq,jjjl,ljjz,jjglr_code,
30513.9,前海开源沪港深创新成长混合C,前海开源沪港深创新成长混合C,1.412,223788000,002667,18.9554,2016-06-24 00:00:00,35.766,1.412,147.7253,47.5776,47.283,1.462,2017-11-07 00:00:00,倪枫,1.462,80280038,
157689,上投摩根智选30混合,上投摩根智选30混合,2.213,247018000,370027,18.7232,2013-03-06 00:00:00,31.6478,2.213,147.6318,121.3,38.2261,2.213,2017-11-07 00:00:00,孟亮,2.213,80050229,
84641.4,汇添富消费行业混合,汇添富消费行业混合,3.292,1008160000,000083,19.7526,2013-05-03 00:00:00,32.4748,3.292,147.0299,229.2,43.5048,3.292,2017-11-07 00:00:00,胡昕炜,3.292,80053708,
49929,广发沪港深新起点股票,广发沪港深新起点股票,1.424,841780000,002121,10.9034,2016-11-02 00:00:00,30.1645,1.424,146.8041,42.4,42.5425,1.424,2017-11-07 00:00:00,李耀柱,1.424,80000248,
54531.1,交银新生活力灵活配置混合,交银新生活力灵活配置混合,1.434,251821000,519772,33.5196,2016-11-11 00:00:00,44.1206,1.434,146.7758,43.4,--,1.434,2017-11-07 00:00:00,杨浩,1.434,80064562,
263662,嘉实新消费股票,嘉实新消费股票,1.414,1351350000,001044,18.6242,2015-03-23 00:00:00,30.8048,1.414,146.3768,41.4,43.4077,1.414,2017-11-07 00:00:00,谭丽,1.414,80000223,
22157.1,中海沪港深价值优选混合,中海沪港深价值优选混合,1.605,160195000,002214,16.6424,2016-04-28 00:00:00,32.3166,1.605,146.1749,60.5,41.4097,1.605,2017-11-07 00:00:00,姚晨曦、林翠萍,1.605,80046614,
138870,兴全社会责任混合,兴全社会责任混合,3.903,2221280000,340007,26.3925,2008-04-30 00:00:00,38.5025,3.903,146.0157,344.747,41.8241,4.093,2017-11-07 00:00:00,傅鹏博,4.093,80036742,
98918,东方红优享红利混合,东方红优享红利混合,1.4475,2666680000,003396,18.9302,2016-10-31 00:00:00,34.0278,1.4475,145.9909,44.75,45.1128,1.4475,2017-11-07 00:00:00,刚登峰,1.4475,80145102,
59309,华夏消费ETF,华夏消费ETF,2.3538,108090000,510630,23.7214,2013-03-28 00:00:00,38.3937,2.3538,145.954,135.38,46.4079,2.3538,2017-11-07 00:00:00,荣膺,2.3538,80000222,
60744.4,工银深证红利ETF,工银深证红利ETF,1.6956,245444000,159905,15.8988,2010-11-05 00:00:00,32.9987,1.6956,145.6326,69.5091,42.3797,1.6956,2017-11-07 00:00:00,赵栩,1.6956,80064225,
119033,上投摩根大盘蓝筹股票,上投摩根大盘蓝筹股票,1.88,217024000,376510,16.4808,2010-12-20 00:00:00,26.2592,1.88,145.6235,88,39.0533,1.88,2017-11-07 00:00:00,征茂平,1.88,80050229,
62431.2,东方红优势精选混合,东方红优势精选混合,1.433,609721000,001712,16.4094,2015-09-08 00:00:00,28.405,1.433,145.0405,43.3,44.7475,1.433,2017-11-07 00:00:00,刚登峰,1.433,80145102,
74180,汇添富蓝筹稳健混合,汇添富蓝筹稳健混合,2.596,907409000,519066,18.3767,2008-07-08 00:00:00,28.3877,2.596,145.0279,343.124,42.0909,3.406,2017-11-07 00:00:00,雷鸣,3.406,80053708,
119254,上投摩根核心成长股票,上投摩根核心成长股票,2.227,2776550000,000457,15.2095,2014-02-10 00:00:00,26.4384,2.227,145.0156,159.578,44.1299,2.536,2017-11-07 00:00:00,李博,2.536,80050229,
999899,汇添富成长焦点混合,汇添富成长焦点混合,2.0348,3793150000,519068,19.5394,2007-03-12 00:00:00,28.1756,2.0348,144.9679,314.463,41.1183,3.2238,2017-11-07 00:00:00,雷鸣,3.2238,80053708,
152115,上投摩根转型动力混合,上投摩根转型动力混合,1.962,597627000,000328,19.0534,2013-11-25 00:00:00,31.5895,1.962,144.904,96.2,32.8368,1.962,2017-11-07 00:00:00,孟亮,1.962,80050229,
28832.9,农银工业4.0混合,农银工业4.0混合,1.4495,125055000,001606,17.1218,2015-08-13 00:00:00,36.3209,1.4495,144.8631,44.95,36.7969,1.4495,2017-11-07 00:00:00,颜伟鹏,1.4495,80092233,
51829.9,前海开源人工智能主题混合,前海开源人工智能主题混合,1.45,276345000,001986,20.4319,2016-05-04 00:00:00,27.3047,1.45,144.8551,45,40.3679,1.45,2017-11-07 00:00:00,曲扬,1.45,80280038,
409175,易方达行业领先混合,易方达行业领先混合,2.446,351880000,110015,18.911,2009-03-26 00:00:00,32.1448,2.446,144.8194,185.938,41.4691,2.672,2017-11-07 00:00:00,冯波,2.672,80000229,
122671,易方达中小盘混合,易方达中小盘混合,3.7906,1304680000,110011,15.8142,2008-06-19 00:00:00,22.0723,3.7906,144.54,332.999,42.8898,4.1806,2017-11-07 00:00:00,张坤,4.1806,80000229,
65087.6,银河美丽混合A,银河美丽混合A,2.206,223866000,519664,18.986,2014-05-29 00:00:00,33.1322,2.206,143.9948,120.6,34.0219,2.206,2017-11-07 00:00:00,杨琪,2.206,80000237,
59967.8,鹏华品牌传承混合,鹏华品牌传承混合,1.468,66787300,000431,18.9627,2014-01-28 00:00:00,29.9115,1.468,143.4995,58.7907,37.3246,1.55,2017-11-07 00:00:00,王宗合,1.55,80000230,
38923.2,深F60ETF,深F60ETF,3.7704,39566000,159916,13.7273,2011-09-08 00:00:00,30.6943,3.7704,143.4758,105.452,42.3115,2.0543,2017-11-07 00:00:00,薛玲,2.0543,80065990,
790698,诺德价值优势混合,诺德价值优势混合,1.8788,577949000,570001,18.4466,2007-04-19 00:00:00,29.3227,1.8788,143.3542,87.88,38.9337,1.8788,2017-11-07 00:00:00,罗世锋,1.8788,80068180,
166930,上投摩根中国优势混合,上投摩根中国优势混合,1.4257,1106330000,375010,19.0067,2004-09-15 00:00:00,31.5707,1.4257,143.1138,598.868,32.6233,5.4777,2017-11-07 00:00:00,杨景喻、孟亮,5.4777,80050229,
65087.6,银河美丽混合C,银河美丽混合C,2.14,71042000,519665,18.6911,2014-05-29 00:00:00,32.5077,2.14,142.8571,114,32.7543,2.14,2017-11-07 00:00:00,杨琪,2.14,80000237,
247430,易方达上证50指数分级B,易方达上证50指数分级B,1.7837,73163400,502050,11.537,2015-04-15 00:00:00,39.9639,1.7837,142.7874,-58.1061,44.021,1.7837,2017-11-07 00:00:00,余海燕,1.7837,80000229,
265887,广发竞争优势混合,广发竞争优势混合,1.943,528484000,000529,21.5134,2014-03-12 00:00:00,34.0925,1.943,142.6579,94.3,35.4951,1.943,2017-11-07 00:00:00,苗宇,1.943,80000248,
82152.9,广发新经济混合,广发新经济混合,2.425,195889000,270050,20.5868,2013-02-06 00:00:00,36.5428,2.425,142.5632,142.5,38.6507,2.425,2017-11-07 00:00:00,邱璟旻,2.425,80000248,
562814,农银主题轮动混合,农银主题轮动混合,1.3958,440168000,000462,20.7335,2015-04-10 00:00:00,34.6258,1.3958,142.5595,39.58,33.9025,1.3958,2017-11-07 00:00:00,颜伟鹏,1.3958,80092233,
353095,嘉实全球互联网股票(QDII),嘉实全球互联网股票(QDII),1.517,1743760000,000988,6.65702,2015-04-15 00:00:00,22.9358,1.517,142.5532,47.4,38.1443,1.517,2017-11-06 00:00:00,张丹华,1.517,80000223,
33023.3,国富大中华精选混合(QDII),国富大中华精选混合(QDII),1.371,167723000,000934,8.5259,2015-02-03 00:00:00,22.8133,1.371,142.4686,36.2,38.9796,1.371,2017-11-06 00:00:00,徐成,1.371,80044515,
261775,工银深证红利ETF联接,工银深证红利ETF联接,1.3795,226947000,481012,14.8817,2010-11-09 00:00:00,30.9818,1.3795,142.4221,63.4322,40.9141,1.5577,2017-11-07 00:00:00,赵栩,1.5577,80064225,
36020.3,广发创新升级混合,广发创新升级混合,1.4099,951736000,002939,14.9812,2016-08-24 00:00:00,36.1696,1.4099,142.3135,40.99,38.879,1.4099,2017-11-07 00:00:00,王颂、刘格菘,1.4099,80000248,
24942.2,富安达新兴成长混合,富安达新兴成长混合,1.4752,322729000,000755,11.1345,2014-09-11 00:00:00,39.1961,1.4752,142.0921,47.52,22.9641,1.4752,2017-11-07 00:00:00,孙绍冰,1.4752,80128562,
224864,汇丰晋信消费红利股票,汇丰晋信消费红利股票,1.1729,241921000,540009,13.6426,2010-12-08 00:00:00,26.7159,1.1729,141.5464,35.1527,39.5381,1.3349,2017-11-07 00:00:00,是星涛,1.3349,80067635,
361742,上投摩根行业轮动混合A,上投摩根行业轮动混合A,2.009,720275000,377530,14.53,2010-01-28 00:00:00,33.7689,2.009,141.5063,137.306,34.0712,2.364,2017-11-07 00:00:00,孙芳,2.364,80050229,
150955,景顺长城品质投资混合,景顺长城品质投资混合,2.306,196659000,000020,15.996,2013-03-19 00:00:00,27.1224,2.306,141.299,130.6,33.9141,2.306,2017-11-07 00:00:00,詹成,2.306,80000251,
24372.3,工银香港中小盘股票美元(QDII),工银香港中小盘股票美元(QDII),0.2236,249183000,002380,13.4084,2016-03-09 00:00:00,27.6498,0.2236,141.1465,44.6475,36.7057,0.2236,2017-11-06 00:00:00,唐明君,0.2236,80064225,
131926,招商央视财经50指数A,招商央视财经50指数A,2.053,51914400,217027,16.0543,2013-02-05 00:00:00,30.9311,2.053,141.0997,105.3,42.1745,2.053,2017-11-07 00:00:00,侯昊,2.053,80036782,
