symbol,name,ticktime,price,volume,prev_price,kind,settlement,ratio_avg_volume_20,
sz000725,京东方Ａ,10:37:54,6.660,1084800,6.660,D,6.530,7,
sh601099,太平洋,10:37:51,3.970,534300,3.970,U,3.960,125,
sz000839,中信国安,10:37:48,13.570,625200,13.560,D,12.510,51,
sh601288,农业银行,10:37:48,3.710,630000,3.700,U,3.710,24,
sz000100,TCL 集团,10:37:48,4.830,1110100,4.820,U,4.800,33,
sz000725,京东方Ａ,10:37:42,6.660,593900,6.660,D,6.530,4,
sh601288,农业银行,10:37:36,3.710,660000,3.700,U,3.710,25,
sh600795,国电电力,10:37:30,3.360,1574700,3.360,U,3.350,225,
sh600795,国电电力,10:37:27,3.360,1802000,3.350,U,3.350,258,
sz000839,中信国安,10:37:21,13.600,506190,13.630,D,12.510,41,
sh600808,马钢股份,10:37:09,4.170,685600,4.180,D,4.210,90,
sh601288,农业银行,10:37:06,3.710,510500,3.710,U,3.710,20,
sz000725,京东方Ａ,10:37:06,6.660,571300,6.660,D,6.530,4,
sh601988,中国银行,10:37:03,3.930,509200,3.930,U,3.910,29,
sh600795,国电电力,10:37:00,3.360,3000000,3.350,U,3.350,429,
sz000727,华东科技,10:36:48,2.790,621900,2.800,D,2.800,92,
sh600759,洲际油气,10:36:45,5.460,623400,5.470,D,5.620,264,
sh601766,中国中车,10:36:42,11.170,537400,11.170,D,11.400,33,
sz000725,京东方Ａ,10:36:42,6.660,1155300,6.670,D,6.530,8,
sz000725,京东方Ａ,10:36:39,6.670,564000,6.660,U,6.530,4,
sz000100,TCL 集团,10:36:39,4.800,1517470,4.810,D,4.800,45,
sz002429,兆驰股份,10:36:30,3.470,626600,3.480,D,3.520,118,
sh600028,中国石化,10:36:27,6.210,681880,6.210,D,6.290,49,
sz000725,京东方Ａ,10:36:24,6.650,657700,6.660,D,6.530,4,
sh603993,洛阳钼业,10:36:24,7.030,723400,7.020,U,6.900,54,
sh601288,农业银行,10:36:21,3.700,1002900,3.710,D,3.710,39,
sz000100,TCL 集团,10:36:18,4.810,620100,4.820,D,4.800,18,
sh600050,中国联通,10:36:15,7.900,777579,7.890,U,7.970,24,
sz000725,京东方Ａ,10:36:12,6.660,555400,6.660,D,6.530,4,
sz002185,华天科技,10:36:12,8.720,602300,8.740,D,8.900,86,
sh600269,赣粤高速,10:36:09,5.310,715763,5.320,D,5.300,682,
sh600522,中天科技,10:35:57,13.730,925700,13.730,U,13.380,125,
sh600460,士兰微,10:35:48,10.250,589000,10.250,D,10.610,70,
sh600166,福田汽车,10:35:45,3.050,570400,3.040,U,3.010,75,
sh601668,中国建筑,10:35:42,9.590,736100,9.600,D,9.620,40,
sz000725,京东方Ａ,10:35:39,6.660,1126300,6.660,D,6.530,8,
sz000725,京东方Ａ,10:35:36,6.660,2092500,6.670,D,6.530,14,
sz000725,京东方Ａ,10:35:30,6.670,1119300,6.670,D,6.530,8,
sz000725,京东方Ａ,10:35:27,6.670,583189,6.670,U,6.530,4,
sz000839,中信国安,10:35:27,13.740,866000,13.750,D,12.510,70,
sh601288,农业银行,10:35:24,3.700,695600,3.710,D,3.710,27,
sh600019,宝钢股份,10:35:24,8.170,1068400,8.160,U,8.220,124,
sz000710,贝瑞基因,10:35:21,70.030,510800,69.680,D,63.660,1698,
sh600050,中国联通,10:35:21,7.910,746800,7.910,D,7.970,23,
sh600030,中信证券,10:35:18,17.720,942700,17.730,D,17.520,146,
sz000839,中信国安,10:35:15,13.750,924300,13.750,U,12.510,75,
sz000100,TCL 集团,10:35:06,4.810,1288800,4.800,U,4.800,38,
sh601288,农业银行,10:34:57,3.710,1009700,3.710,U,3.710,39,
sh600031,三一重工,10:34:54,8.000,1050600,7.980,U,7.890,185,
sz000725,京东方Ａ,10:34:51,6.670,1065100,6.670,D,6.530,7,
sh600606,绿地控股,10:34:45,7.770,881000,7.760,U,7.580,193,
sz000100,TCL 集团,10:34:45,4.800,1007700,4.780,U,4.800,30,
sz000725,京东方Ａ,10:34:33,6.680,672480,6.680,U,6.530,5,
sh601288,农业银行,10:34:33,3.710,1035000,3.710,D,3.710,40,
sh601668,中国建筑,10:34:30,9.600,614600,9.610,D,9.620,34,
sh600522,中天科技,10:34:27,13.680,824000,13.680,D,13.380,111,
sz002191,劲嘉股份,10:34:27,10.100,990000,10.140,D,10.260,654,
sh601288,农业银行,10:34:21,3.720,1040000,3.700,U,3.710,40,
sh601288,农业银行,10:34:18,3.700,581100,3.710,D,3.710,22,
sz000839,中信国安,10:34:12,13.610,904700,13.600,U,12.510,73,
sz000725,京东方Ａ,10:34:09,6.670,512800,6.670,D,6.530,3,
sh600221,海航控股,10:34:06,3.230,503800,3.240,D,3.230,126,
sz002081,金 螳 螂,10:34:03,13.990,615200,13.990,D,13.450,185,
sh600050,中国联通,10:34:03,7.930,1145900,7.930,D,7.970,36,
sh600050,中国联通,10:34:00,7.930,934400,7.920,U,7.970,29,
sh600022,山东钢铁,10:33:51,2.280,705000,2.280,D,2.290,62,
sh601398,工商银行,10:33:45,6.070,720400,6.080,D,6.070,33,
sh601398,工商银行,10:33:39,6.080,1003400,6.080,U,6.070,46,
sz000725,京东方Ａ,10:33:36,6.680,753549,6.670,U,6.530,5,
sz000001,平安银行,10:33:33,12.420,564200,12.440,D,11.920,65,
sz000725,京东方Ａ,10:33:27,6.670,623900,6.670,D,6.530,4,
sh601939,建设银行,10:33:24,7.030,518278,7.040,D,7.000,68,
sh600606,绿地控股,10:33:24,7.720,553398,7.710,U,7.580,121,
sh600050,中国联通,10:33:24,7.900,660079,7.900,U,7.970,21,
sh600010,包钢股份,10:33:18,2.670,530000,2.680,D,2.670,74,
sh600782,新钢股份,10:33:18,6.000,735200,6.030,D,5.910,139,
sz000100,TCL 集团,10:33:15,4.790,534330,4.780,U,4.800,16,
sz000725,京东方Ａ,10:33:09,6.680,664151,6.680,D,6.530,4,
sz000630,铜陵有色,10:32:54,2.850,1008000,2.840,U,2.840,128,
sz000100,TCL 集团,10:32:54,4.780,1105400,4.790,D,4.800,33,
sh600028,中国石化,10:32:51,6.220,922952,6.230,D,6.290,67,
sh600606,绿地控股,10:32:51,7.700,1012400,7.680,U,7.580,222,
sh600871,石化油服,10:32:48,3.090,523900,3.080,U,3.120,244,
sh600395,盘江股份,10:32:48,7.020,600100,7.180,D,7.230,593,
sz000100,TCL 集团,10:32:42,4.790,541100,4.790,D,4.800,16,
sh600606,绿地控股,10:32:42,7.690,1050500,7.690,U,7.580,231,
sh600019,宝钢股份,10:32:39,8.190,506500,8.190,U,8.220,59,
sh601288,农业银行,10:32:39,3.710,1001800,3.710,U,3.710,39,
sh601857,中国石油,10:32:33,8.490,953716,8.500,D,8.590,191,
sh600050,中国联通,10:32:30,7.900,994479,7.900,U,7.970,31,
sz000572,海马汽车,10:32:27,5.200,667600,5.200,D,5.110,113,
sh601989,中国重工,10:32:27,6.650,706400,6.650,D,6.780,63,
sh601288,农业银行,10:32:27,3.710,1051900,3.710,U,3.710,41,
sz000839,中信国安,10:32:27,13.760,9515751,13.760,U,12.510,771,
sh601857,中国石油,10:32:24,8.500,1001300,8.510,D,8.590,200,
sh600050,中国联通,10:32:24,7.890,1205900,7.890,D,7.970,38,
sz000725,京东方Ａ,10:32:18,6.690,541627,6.690,D,6.530,4,
sh601002,晋亿实业,10:32:18,10.640,780200,10.630,U,10.910,172,
sh600010,包钢股份,10:32:15,2.680,915100,2.680,D,2.670,127,
sz000517,荣安地产,10:31:54,4.420,600000,4.380,U,4.250,640,
sz000725,京东方Ａ,10:31:54,6.700,612100,6.700,U,6.530,4,
sh600050,中国联通,10:31:51,7.890,751501,7.890,U,7.970,24,
sz000517,荣安地产,10:31:48,4.380,607500,4.380,D,4.250,648,
sh600777,新潮能源,10:31:45,4.110,507440,4.110,D,4.200,228,
sz000725,京东方Ａ,10:31:21,6.690,1000386,6.690,U,6.530,7,
sh600252,中恒集团,10:31:12,4.170,635100,4.170,D,4.170,241,
sh601288,农业银行,10:31:03,3.720,1000100,3.710,U,3.710,39,
sz000725,京东方Ａ,10:31:00,6.690,585200,6.680,U,6.530,4,
sh601288,农业银行,10:30:51,3.710,1030000,3.710,D,3.710,40,
sh601216,君正集团,10:30:45,5.290,506600,5.290,D,5.090,125,
sh600050,中国联通,10:30:45,7.880,1222200,7.870,U,7.970,38,
sz000725,京东方Ａ,10:30:42,6.690,660056,6.680,U,6.530,4,
sh600016,民生银行,10:30:39,8.380,588701,8.380,D,8.360,88,
sh601216,君正集团,10:30:36,5.290,689400,5.280,U,5.090,171,
sh600050,中国联通,10:30:18,7.880,745184,7.880,D,7.970,23,
sh601216,君正集团,10:30:09,5.260,1021100,5.270,D,5.090,253,
sh601216,君正集团,10:30:06,5.270,522600,5.260,U,5.090,129,
sh600787,中储股份,10:30:06,11.000,587400,10.990,U,10.650,276,
sh601216,君正集团,10:30:00,5.260,794000,5.250,U,5.090,197,
sh601288,农业银行,10:29:54,3.710,650600,3.720,D,3.710,25,
sh600751,天海投资,10:29:45,6.700,502000,6.630,U,6.300,594,
sh601216,君正集团,10:29:45,5.240,529100,5.250,D,5.090,131,
sz002516,旷达科技,10:29:39,6.380,515400,6.380,D,5.900,523,
sz002610,爱康科技,10:29:33,2.490,537300,2.500,D,2.500,219,
sh601288,农业银行,10:29:30,3.710,662200,3.710,D,3.710,26,
sh601216,君正集团,10:29:24,5.220,947100,5.220,D,5.090,235,
sz002340,格林美,10:29:18,7.940,523300,7.930,U,7.590,41,
sz000100,TCL 集团,10:29:18,4.780,557700,4.790,D,4.800,17,
sh601010,文峰股份,10:29:15,4.200,874357,4.160,U,4.150,1535,
sz002340,格林美,10:29:15,7.930,1121970,7.940,D,7.590,89,
sh601288,农业银行,10:29:09,3.720,502100,3.720,U,3.710,19,
sh601288,农业银行,10:29:00,3.720,800100,3.710,U,3.710,31,
sz002600,江粉磁材,10:29:00,9.000,1024200,9.040,D,9.150,216,
sh601288,农业银行,10:28:54,3.720,510100,3.710,U,3.710,20,
sh601398,工商银行,10:28:42,6.080,1069400,6.080,U,6.070,49,
sz000725,京东方Ａ,10:28:39,6.670,881600,6.680,D,6.530,6,
sz002340,格林美,10:28:24,7.920,534620,7.920,U,7.590,42,
sh600050,中国联通,10:28:15,7.870,657400,7.870,D,7.970,21,
sh600028,中国石化,10:28:12,6.240,600000,6.250,D,6.290,43,
sh600050,中国联通,10:28:09,7.870,575000,7.870,U,7.970,18,
sz000683,远兴能源,10:28:00,2.980,636200,2.970,U,2.970,179,
sz002329,皇氏集团,10:27:57,9.110,512400,9.110,D,8.530,492,
sh601988,中国银行,10:27:54,3.910,860000,3.920,D,3.910,50,
